question_id,batch_id,question_number,topic,subtopic,difficulty,question_type,review_status,candidate_repair_confidence,candidate_repair_notes,question_text_markdown_candidate,option_a_markdown_candidate,option_b_markdown_candidate,option_c_markdown_candidate,option_d_markdown_candidate,detailed_solution_markdown_candidate
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_Q15,cat_quant_verified_practice_batch_01,15,Algebra,Sequences & Series,Medium,TITA,safe_candidate_ready,medium,formatted T2 as T^2,Let $$ Tn=1+2+3 $$ + · · · + n. Find the value of T1 + T^2 + T3 + · · · + T20. 3.,,,,,"### Step 1 Tn = n(n + 1) 2. ### Step 2 Sum required = 20 X n=1 n(n + 1) 2 = $\frac{1}{2}$ 20 X n=1 ($n^2$ + n) = $\frac{1}{2}$ "" 20 X n=1 $n^2$ + 20 X n=1 n #. ### Step 3 20 X n=1 $n^2$ = 20 · 21 · 41 6 = 2870; 20 X n=1 n = 20 · 21 2 = 210. ### Step 4 Sum = $\frac{1}{2}$ (2870 + 210) = 3080 2 = 1540. 12 ### Step 5 (Cross - check via tetrahedral formula: PN n=1 Tn = N(N + 1)(N + 2) 6 = 20 · 21 · 22 6 = 1540. Matches.)"
GEN_CAT_QUANT_PREMIUM_TOUGH_PRACTICE_15Q_Q01,cat_quant_premium_tough_practice_15q,,Arithmetic,Time-Speed-Distance,Medium,MCQ,safe_candidate_ready,high,,"Two trains start simultaneously from stations A and B, which are 480 km apart, moving toward each other at 60 km/h and 100 km/h respectively. At the instant the trains start, a bird sitting on the front of the train at A takes off and flies toward the train at B at a constant speed of 200 km/h. As soon as it reaches the other train it instantly turns back, and continues shuttling between the two trains until they meet. What is the total distance (in km) flown by the bird?",540,600,720,480,"Two trains start simultaneously from stations A and B, which are 480 km apart, moving toward each other at 60 km/h and 100 km/h respectively. At the instant the trains start, a bird sitting on the front of the train at A takes off and flies toward the train at B at a constant speed of 200 km/h. As soon as it reaches the other train it instantly turns back, and continues shuttling between the two trains until they meet. What is the total distance (in km) flown by the bird? Solution. Since the trains move toward each other, their relative speed is 60 + 100 = 160 km/h. Time until they meet = $\frac{480}{160}$ = 3 hours. The bird flies continuously at 200 km/h throughout this 3 - hour window, so total distance = 200 x 3 = 600 km."
GEN_CAT_HARDENED_QUANT_15Q_Q07,cat_hardened_quant_15q,23,Algebra,Unmapped,Hard,MCQ,safe_candidate_ready,high,,"Let a, b, c be positive real numbers satisfying $$ a+2b+3c=18. $$ The maximum possible value of the product abc is",24,27,36,48 Topic: Algebra/Maxima via AM-GM (weighted) - Difficulty: Hard - Type: MCQ,"Rewrite the constraint by introducing u = a, v = 2b, w = 3c, so that u + v + w = 18. Then abc = u · v 2 · w 3 = uvw 6. By AM - GM on u, v, w > 0: u + v + w 3 ≥ 3√uvw ==>uvw ≤63 = 216 ==>abc ≤36. Equality at u = v = w = 6, i.e. a = 6, b = 3, c = 2. The maximum is abc = 6 · 3 · 2 = 36."
GEN_CAT_HARDENED_QUANT_15Q_Q08,cat_hardened_quant_15q,,Algebra,Unmapped,Hard,MCQ,safe_candidate_ready,high,,"How many ordered pairs (x,y) of integers satisfy both |x| + |y| ≤5 and x + y ≥2?",18,20,22,25 Topic: Algebra/Integer Lattice with Modulus Region - Difficulty: Hard - Type: MCQ,"The set |x| + |y| ≤5 is the diamond with vertices (±5, 0), (0, ±5). We count integer points on each line x + y = k inside the diamond, for k = 2, 3, 4, 5. On x + y = k put x = t, y = k -t. The constraint becomes |t| + |k -t| ≤5. For k ≥0 this simplifies to max(k -2t, 2t -k, k) ≤5 ⇐=>k -5 2 ≤t ≤k + 5 2. Count of integer t in this range: k range of t # integers 2 -$\frac{3}{2}$ ≤t ≤$\frac{7}{2}$ 5 (t = -1, 0, 1, 2, 3) 3 -1 ≤t ≤4 6 4 -$\frac{1}{2}$ ≤t ≤$\frac{9}{2}$ 5 (t = 0,..., 4) 5 0 ≤t ≤5 6 Total: 5 + 6 + 5 + 6 = 22."
GEN_CAT_QUANT_BATCH01_Q01,cat_quant_batch01,,Algebra,Symmetric expressions,Hard,MCQ,safe_candidate_ready,medium,formatted S2 as S^2,"If $x > 0$ and $x^2$ + 1 $x^2$ = 47, then the value of x5 + 1 x5 is",15127,15120,16807,14892,"### Step 1 Let a = x + 1 x. Since x > 0, a > 0. ### Step 2 $x^2$ + 1 $x^2$ = $a^2$ -2 = 47. Hence $a^2$ = 49, so a = 7. ### Step 3 Let Sn = xn + 1 xn. Then Sn = aSn - 1 -Sn - 2, with S0 = 2 and S1 = 7. ### Step 4 S^2 = 47, S3 = 7 · 47 -7 = 322, S4 = 7 · 322 -47 = 2207. ### Step 5 S5 = 7 · 2207 -322 = 15127."
GEN_CAT_QUANT_BATCH02_Q02,cat_quant_batch02,,Algebra,Polynomial transformation,Hard,MCQ,safe_candidate_ready,high,,Let $$ f(x)=(x^2-5x)(x^2-5x+6). $$ What is the sum of all real roots of the equation f(x) = 280?,3,5,7,10,"### Step 1 Put y = $x^2$ -5x. 5 Then f(x) = y(y + 6). ### Step 2 The equation f(x) = 280 becomes y(y + 6) = 280. ### Step 3 Hence, $y^2$ + 6y -280 = 0 = (y -14)(y + 20). So y = 14 or y = -20. ### Step 4 If y = 14, then $x^2$ -5x = 14 =>$x^2$ -5x -14 = 0 =>(x -7)(x + 2) = 0. The roots are 7 and -2, whose sum is 5. ### Step 5 If y = -20, then $x^2$ -5x + 20 = 0. Its discriminant is 25 -80 = -55 < 0, so it gives no real root. Therefore, the required sum is 7 + (-2) = 5."
GEN_CAT_QUANT_BATCH02_Q06,cat_quant_batch02,,Algebra,Logarithms and domain restrictions,Medium-Hard,MCQ,safe_candidate_ready,high,,"For real x, solve $$ logx-1(2x2-7x+7)=2. $$ What is the sum of all possible values of x?",2,3,5,6,"### Step 1 The base of the logarithm is x -1. Hence, x -1 > 0 and x -1 ≠ 1. So x > 1, x ≠ 2. ### Step 2 The equation is logx - 1(2x2 -7x + 7) = 2. 8 Therefore, 2x2 -7x + 7 = (x -1)2. ### Step 3 Expanding the right side, 2x2 -7x + 7 = $x^2$ -2x + 1. So $x^2$ -5x + 6 = 0. ### Step 4 Factorising, (x -2)(x -3) = 0. Thus x = 2 or x = 3. ### Step 5 But x = 2 makes the base x -1 = 1, which is not allowed. Hence the only valid value is x = 3. The required sum is 3."
GEN_CAT_QUANT_HARDENED_Q06,cat_quant_hardened,,Algebra,Inequalities,Hard,MCQ,safe_candidate_ready,high,,The number of integers x that satisfy both ($x^2$ -7x + 10)($x^2$ -8x + 12) ≤0 and | x -3 | ≥2 is,1,2,3,4,"[Answer: (B) 2] Factor both quadratics: $x^2$ -7x + 10 = (x -2)(x -5), $x^2$ -8x + 12 = (x -2)(x -6). The product becomes (x -2)2 (x -5)(x -6) ≤0. Since (x - 2)2 ≥0, the inequality holds when either x = 2 or (x - 5)(x - 6) ≤0, i.e. x ∈{2}∪[5, 6]. The integer solutions are {2, 5, 6}. The second condition |x - 3| ≥2 requires x ≤1 or x ≥5, which eliminates x = 2 and keeps {5, 6}. Count = 2."
GEN_CAT_QUANT_HARDENED_Q07,cat_quant_hardened,,Algebra,Logarithms,Hard,MCQ,safe_candidate_ready,high,,"Let x and y be positive real numbers, both different from 1, satisfying $$ logx(y)+logy(x)=10 $$ and xy = 81. If x > y, then x + y equals",18,24,30,36,"[Answer: (C) 30] Let t = logx(y). Then logy(x) = 1/t, and the first equation becomes t + 1/t = $\frac{10}{3}$ ==>$3t^2$ -10t + 3 = 0 ==>t = 3 or t = $\frac{1}{3}$. Case t = 3: y = $x^3$, so xy = $x^4$ = 81, giving x = 3, y = 27. But then x < y, contradicting x > y. Case t = $\frac{1}{3}$: y = x^($\frac{1}{3}$), so xy = x^$\frac{4}{3}$ = 81, giving $x^4$ = 813 = 312 and x = 27, y = 3. This satisfies x > y. Hence x + y = 30."
GEN_CAT_QUANT_HARDENED_Q09,cat_quant_hardened,,Algebra,Quadratic Equations,Hard,MCQ,safe_candidate_ready,high,,"Let p and q be positive integers such that the equation $x^2$ -p $$ x+q=0 $$ has two distinct positive integer roots, and the equation $x^2$ -q $$ x+p=0 $$ also has two distinct positive integer roots. The value of p + q equals",9,10,$\frac{11}{2}$ CAT Quant - Hardened Practice Questions,13,"[Answer: (C) 11] Let the roots of the first equation be a < b (distinct positive integers): then p = $a+b$, q = ab. Let the roots of the second equation be c < d: then q = c + d, p = cd. Hence $a+b$ = cd, ab = c + d. By AM - GM, $a+b$ ≥2 √ ab, so cd ≥2 √ c + d, i.e. (cd)2 ≥4(c + d). Symmetrically, (c + d)2 ≥4cd. Together with the distinctness condition, this forces small values. Try a = 1, b = 5: then p = 6, q = 5. The second equation $x^2$ - 5x+6 = 0 factors as (x - 2)(x - 3), giving roots 2, 3 - distinct positive integers. ✓ For a ≥2, the inequalities tighten and a direct case - check shows the only other solution (up to swapping the role of p, q) is (a,b) = (2, 3) giving p = 5, q = 6, which is the same pair reversed. In both valid cases, p + q = 11."
