question_id,source_tex_file,source_question_number,topic,subtopic,difficulty,practice_level,question_type,parse_status,missing_options,missing_solution,student_visible
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q001,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,1,Arithmetic,Time,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q002,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,2,Arithmetic,Mixtures and Replacement,Very Hard,Advanced,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q003,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,3,Arithmetic,Time and Work,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q004,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,4,Arithmetic,Profit,Medium-Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q005,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,5,Arithmetic,Averages and Ratios,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q006,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,6,Algebra,Functional Equations,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q007,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,7,Algebra,Logarithms,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q008,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,8,Algebra,Inequalities with Constraints,Very Hard,Advanced,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q009,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,9,Algebra,Quadratic Equations,Medium-Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q010,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,10,Number System,Remainders / CRT,Very Hard,Advanced,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q011,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,11,Number System,Divisibility and Inclusion--Exclusion,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q012,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,12,Number System,Digits and Divisibility,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q013,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,13,Geometry,Triangles,Hard,Intermediate,TITA,full_parse,false,false,true
LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q014,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,14,Mensuration,Circles and Tangents,Hard,Intermediate,TITA,full_parse,false,false,true
