exam_slug,section,year,slot,paper_code,question_id,question_text,question_type,option_a,option_b,option_c,option_d,correct_answer,detailed_solution,topic,subtopic,archetype,difficulty,source_reference,frequency_weight,probability_score,trend_score,is_free,is_premium,tags
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q01,"A trader sells 10 litres of a mixture of paints A and B, where the amount of B in the mixture does not exceed that of A. The cost of paint A per litre is Rs. 8 more than that of paint B. If the trader sells the entire mixture for Rs. 264 and makes a profit of 10%, then the highest possible cost of paint B, in Rs. per litre, is for this question Answer online.2IIM.com questions from 2IIM question bank Actual CAT 2018 Question Paper",MCQ,20,16,22,26,A,"A trader sells 10 litres of a mixture of paints A and B, where the amount of B in the mixture does not exceed that of A. The cost of paint A per litre is Rs. 8 more than that of paint B. If the trader sells the entire mixture for Rs. 264 and makes a profit of 10%, then the highest possible cost of paint B, in Rs. per litre, is A)20 B)16 C)22 D)26 online.2IIM.com Back to Question Video Solution Click to go “Back to Question” Click to see “overall Solution page” Difficulty Level – Topic – Mixtures and Alligations Medium --- PAGE 41 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Mixtures and Alligation,Mixture concentration problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Mixtures and Alligation, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q02,"In a circle with centre O and radius 1 cm, an arc AB makes an angle 60 degrees at O. Let R be the region bounded by the radii OA, OB and the arc AB. If C and D are two points on OA and OB, respectively, such that OC = OD and the area of triangle OCD is half that of R, then the length of OC, in cm, is Actual CAT 2018 Question Paper",MCQ,𝛱 4 1 2,𝛱 6 1 2,𝜋 4 3 1 2,𝛱 3 3 1 2 online.2IIM.com Answer,D,"In a circle with centre O and radius 1 cm, an arc AB makes an angle 60 degrees at O. Let R be the region bounded by the radii OA, OB and the arc AB. If C and D are two points on OA and OB, respectively, such that OC = OD and the area of triangle OCD is half that of R, then the length of OC, in cm, is A) 𝛱 4 1 2 B) 𝛱 6 1 2 C) 𝜋 4 3 1 2 D) 𝜫 𝟑𝟑 𝟏 𝟐 online.2IIM.com Difficulty Level – Topic – Geometry Easy Back to Question Video Solution --- PAGE 42 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Geometry,Circles,Circle tangent/chord problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Geometry, subtopic:Circles, archetype:Circle tangent/chord problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q03,"If f(x + 2) = f(x) + f(x + 1) for all positive integers x, and f(11) = 91, f(15) = 617, then f(10) equals. [TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,54,"If f(x + 2) = f(x) + f(x + 1) for all positive integers x, and f(11) = 91, f(15) = 617, then f(10) equals. [TITA] Answer: 54 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Functions Medium --- PAGE 43 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Algebra,Functions,Function value/domain problem,Easy,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Algebra, subtopic:Functions, archetype:Function value/domain problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q04,"The distance from A to B is 60 km. Partha and Narayan start from A at the same time and move towards B. Partha takes four hours more than Narayan to reach B. Moreover, Partha reaches the mid-point of A and B two hours before Narayan reaches B. The speed of Partha, in km per hour, is Answer Actual CAT 2018 Question Paper",MCQ,6,3,4,5 online.2IIM.com,D,"The distance from A to B is 60 km. Partha and Narayan start from A at the same time and move towards B. Partha takes four hours more than Narayan to reach B. Moreover, Partha reaches the mid-point of A and B two hours before Narayan reaches B. The speed of Partha, in km per hour, is A) 6 B) 3 C) 4 D) 5 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Speed, Time and Distance Easy --- PAGE 44 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Time Speed Distance,Mixture concentration problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Time Speed Distance, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q05,"A CAT aspirant appears for a certain number of tests. His average score increases by 1 if the first 10 tests are not considered, and decreases by 1 if the last 10 tests are not considered. If his average scores for the first 10 and the last 10 tests are 20 and 30, respectively, then the total number of tests taken by him is [TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,60,"A CAT aspirant appears for a certain number of tests. His average score increases by 1 if the first 10 tests are not considered, and decreases by 1 if the last 10 tests are not considered. If his average scores for the first 10 and the last 10 tests are 20 and 30, respectively, then the total number of tests taken by him is [TITA] Answer: 60 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Averages Easy --- PAGE 45 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Percentages,Successive percentage change,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Percentages, archetype:Successive percentage change"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q06,"Two types of tea, A and B, are mixed and then sold at Rs. 40 per kg. The profit is 10% if A and B are mixed in the ratio 3 : 2, and 5% if this ratio is 2 : 3. The cost prices, per kg, of A and B are in the ratio Answer Actual CAT 2018 Question Paper",MCQ,21 : 25,19 : 24,18 : 25,17 : 25 online.2IIM.com,B,"Two types of tea, A and B, are mixed and then sold at Rs. 40 per kg. The profit is 10% if A and B are mixed in the ratio 3 : 2, and 5% if this ratio is 2 : 3. The cost prices, per kg, of A and B are in the ratio A) 21 : 25 B) 19 : 24 C) 18 : 25 D) 17 : 25 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Ratio and Proportions Easy --- PAGE 46 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Profit and Loss,Profit-loss transaction problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Profit and Loss, archetype:Profit-loss transaction problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q07,"A wholesaler bought walnuts and peanuts, the price of walnut per kg being thrice that of peanut per kg. He then sold 8 kg of peanuts at a profit of 10% and 16 kg of walnuts at a profit of 20% to a shopkeeper. However, the shopkeeper lost 5 kg of walnuts and 3 kg of peanuts in transit. He then mixed the remaining nuts and sold the mixture at Rs. 166 per kg, thus making an overall profit of 25%. At what price, in Rs. per kg, did the wholesaler buy the walnuts? Answer Actual CAT 2018 Question Paper",MCQ,84,86,96,98 online.2IIM.com,C,"A wholesaler bought walnuts and peanuts, the price of walnut per kg being thrice that of peanut per kg. He then sold 8 kg of peanuts at a profit of 10% and 16 kg of walnuts at a profit of 20% to a shopkeeper. However, the shopkeeper lost 5 kg of walnuts and 3 kg of peanuts in transit. He then mixed the remaining nuts and sold the mixture at Rs. 166 per kg, thus making an overall profit of 25%. At what price, in Rs. per kg, did the wholesaler buy the walnuts? A) 84 B) 86 C) 96 D) 98 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Mixtures Medium --- PAGE 47 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Profit and Loss,Mixture concentration problem,Hard,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Profit and Loss, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q08,"When they work alone, B needs 25% more time to ﬁnish a job than A does. They two ﬁnish the job in 13 days in the following manner: A works alone till half the job is done, then A and B work together for four days, and ﬁnally B works alone to complete the remaining 5% of the job. In how many days can B alone ﬁnish the entire job? Answer Actual CAT 2018 Question Paper",MCQ,16,22,20,18 online.2IIM.com,C,"When they work alone, B needs 25% more time to ﬁnish a job than A does. They two ﬁnish the job in 13 days in the following manner: A works alone till half the job is done, then A and B work together for four days, and ﬁnally B works alone to complete the remaining 5% of the job. In how many days can B alone ﬁnish the entire job? A) 16 B) 22 C) 20 D) 18 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Work and Time Easy --- PAGE 48 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Time and Work,Work-efficiency problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Time and Work, archetype:Work-efficiency problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q09,"Given an equilateral triangle T1 with side 24 cm, a second triangle T2 is formed by joining the midpoints of the sides of T1. Then a third triangle T3 is formed by joining the midpoints of the sides of T2. If this process of forming triangles is continued, the sum of the areas, in sq cm, of infinitely many such triangles T1, T2, T3,... will be Answer Actual CAT 2018 Question Paper",MCQ,192√3,164√3,248√3,188√3 online.2IIM.com,A,"Given an equilateral triangle T1 with side 24 cm, a second triangle T2 is formed by joining the midpoints of the sides of T1. Then a third triangle T3 is formed by joining the midpoints of the sides of T2. If this process of forming triangles is continued, the sum of the areas, in sq cm, of infinitely many such triangles T1, T2, T3,... will be A) 192√3 B)164√3 C)248√3 D)188√3 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Geometry Easy --- PAGE 49 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Geometry,Triangles,Mixture concentration problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Geometry, subtopic:Triangles, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q10,"While multiplying three real numbers, Ashok took one of the numbers as 73 instead of 37. As a result, the product went up by 720. Then the minimum possible value of the sum of squares of the other two numbers is: [TITA] online.2IIM.com Answer Actual CAT 2018 Question Paper",TITA,,,,,40,"While multiplying three real numbers, Ashok took one of the numbers as 73 instead of 37. As a result, the product went up by 720. Then the minimum possible value of the sum of squares of the other two numbers is: [TITA] Answer: 40 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Number Theory Easy --- PAGE 50 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Arithmetic,Mixtures and Alligation,Mixture concentration problem,Medium,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Arithmetic, subtopic:Mixtures and Alligation, archetype:Mixture concentration problem"
cat,QA,2018,Slot 1,CAT_2018_S1_QA,CAT_2018_S1_QA_Q11,"If x is a positive quantity such that 2x = , then x is equal to Answer 3log5 2 Actual CAT 2018 Question Paper",MCQ,log5 9,1 + log5 3 5,1 + log3 5 3,log5 8 online.2IIM.com,B,"If x is a positive quantity such that 2x = 3log 5 2 , then x is equal to A) log5 9 B) 𝟏+ 𝒍𝒐𝒈𝟓 𝟑 𝟓 C) 1 + log3 5 3 D) log5 8 online.2IIM.com Back to Question Video Solution Difficulty Level – Topic – Logarithm Easy --- PAGE 51 --- Actual CAT 2018 Question Paper For more CAT Level questions Click →Questions.2IIM.com",Algebra,Logarithms,Mixture concentration problem,Easy,data/extracted_text/2018/Slot_1/QA/CAT_2018_Slot_1_QA.txt,,,,true,false,"year:2018, slot:Slot 1, topic:Algebra, subtopic:Logarithms, archetype:Mixture concentration problem"
