source_tex_file,source_question_number,question_id,confidence,stage,score,notes
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,1,GEN_CAT_HARDENED_QA_SIMULATION_Q01,medium,source,0.2685,combined=0.27; question=0.03; options=0.00; answer=0.00; skeleton=0.00; numbers=0.11; anchors=0.04; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,2,GEN_CAT_HARDENED_QA_SIMULATION_Q02,medium,source,0.2797,combined=0.28; question=0.07; options=0.00; answer=0.00; skeleton=0.00; numbers=0.00; anchors=0.08; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,3,GEN_CAT_HARDENED_QA_SIMULATION_Q03,medium,source,0.2602,combined=0.26; question=0.03; options=0.00; answer=0.00; skeleton=0.00; numbers=0.00; anchors=0.06; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,4,GEN_CAT_HARDENED_QA_SIMULATION_Q04,medium,source,0.2707,combined=0.27; question=0.05; options=0.00; answer=0.00; skeleton=0.00; numbers=0.00; anchors=0.08; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,5,GEN_CAT_HARDENED_QA_SIMULATION_Q05,medium,source,0.2654,combined=0.27; question=0.00; options=0.00; answer=0.00; skeleton=0.07; numbers=0.11; anchors=0.00; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,6,GEN_CAT_HARDENED_QUANT_15Q_Q06,medium,source,0.2408,combined=0.24; question=0.00; options=0.00; answer=0.00; skeleton=0.00; numbers=0.00; anchors=0.00; source=0.86; source-file-exact; question-number
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,7,GEN_CAT_HARDENED_QA_SIMULATION_Q01,medium,source,0.4701,combined=0.47; question=0.67; options=0.00; answer=0.00; skeleton=0.05; numbers=0.06; anchors=0.33; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,11,GEN_CAT_HARDENED_QA_SIMULATION_Q02,medium,source,0.5871,combined=0.59; question=0.56; options=0.00; answer=0.00; skeleton=0.71; numbers=0.56; anchors=0.31; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,15,GEN_CAT_HARDENED_QA_SIMULATION_Q05,low,skeleton,0.4867,combined=0.49; question=0.43; options=0.00; answer=0.00; skeleton=0.50; numbers=0.43; anchors=0.38; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,19,GEN_CAT_HARDENED_QA_SIMULATION_Q07,medium,source,0.5330,combined=0.53; question=0.44; options=0.00; answer=0.00; skeleton=0.67; numbers=0.62; anchors=0.30; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,23,GEN_CAT_HARDENED_QUANT_15Q_Q07,medium,content,0.4241,combined=0.42; question=0.56; options=0.00; answer=0.00; skeleton=0.25; numbers=0.00; anchors=0.56; source=0.34; source-file-tokens=0.50
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,27,GEN_CAT_HARDENED_QUANT_15Q_Q06,medium,source,0.5336,combined=0.53; question=0.48; options=0.00; answer=0.00; skeleton=0.60; numbers=0.50; anchors=0.40; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,31,GEN_CAT_HARDENED_QA_SIMULATION_Q10,medium,source,0.5489,combined=0.55; question=0.56; options=0.00; answer=0.00; skeleton=0.50; numbers=0.42; anchors=0.48; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,35,GEN_CAT_HARDENED_QA_SIMULATION_Q12,low,skeleton,0.3573,combined=0.36; question=0.34; options=0.00; answer=0.00; skeleton=0.20; numbers=0.11; anchors=0.34; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,36,GEN_CAT_HARDENED_QA_SIMULATION_Q10,low,skeleton,0.2687,combined=0.27; question=0.14; options=0.00; answer=0.00; skeleton=0.25; numbers=0.17; anchors=0.14; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,37,GEN_CAT_QUANT_HARDENED_SIMULATION_15Q_Q11,low,skeleton,0.2587,combined=0.26; question=0.23; options=0.00; answer=0.00; skeleton=0.20; numbers=0.11; anchors=0.23; source=0.34; source-file-tokens=1.00
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,38,GEN_CAT_HARDENED_QA_SIMULATION_Q13,low,skeleton,0.4498,combined=0.45; question=0.48; options=0.00; answer=0.00; skeleton=0.33; numbers=0.25; anchors=0.29; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,42,GEN_CAT_HARDENED_QA_SIMULATION_Q14,medium,source,0.5215,combined=0.52; question=0.46; options=0.00; answer=0.00; skeleton=0.44; numbers=0.56; anchors=0.56; source=0.48; source-file-exact
content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,46,GEN_CAT_HARDENED_QUANT_15Q_Q06,low,skeleton,0.2411,combined=0.24; question=0.09; options=0.16; answer=0.00; skeleton=0.12; numbers=0.18; anchors=0.06; source=0.48; source-file-exact
