question_id,old_level,new_level,old_access_tier,new_access_tier,difficulty,quality_tier,pool_type,fields_cleaned,cleanup_notes
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_Q03,Beginner,Beginner,free,free,Medium,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_Q15,Beginner,Beginner,free,free,Medium,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_PREMIUM_TOUGH_PRACTICE_15Q_Q01,Beginner,Beginner,free,free,Medium,ACCEPT_BASIC_PRACTICE,basic_practice,,estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_Q06,Beginner,Beginner,free,free,Medium,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_HARDENED_QUANT_15Q_Q06,Intermediate,Intermediate,free_limited,free_limited,Medium-Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,estimated_time missing; option_d leakage cleaned; subtopic missing
GEN_CAT_HARDENED_QUANT_15Q_Q07,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,estimated_time missing; option_d leakage cleaned; subtopic missing
GEN_CAT_HARDENED_QUANT_15Q_Q08,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,estimated_time missing; option_d leakage cleaned; subtopic missing
GEN_CAT_HARDENED_QUANT_PAPER_Q07,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,estimated_time missing
GEN_CAT_HARDENED_QUANT_PAPER_Q08,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,estimated_time missing
GEN_CAT_QUANT_BATCH01_Q01,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_BATCH02_Q02,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_BATCH02_Q06,Intermediate,Intermediate,free_limited,free_limited,Medium-Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_HARDENED_Q06,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,estimated_time missing
GEN_CAT_QUANT_HARDENED_Q07,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,estimated_time missing
GEN_CAT_QUANT_HARDENED_Q09,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_CAT_LEVEL_PRACTICE,cat_level_practice,,estimated_time missing; option_c leakage cleaned
GEN_CAT_QUANT_PREMIUM_TOUGH_PRACTICE_15Q_Q08,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,estimated_time missing
GEN_CAT_QUANT_TOUGH_BATCH_Q06,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_TOUGH_BATCH_Q07,Intermediate,Intermediate,free_limited,free_limited,Medium-Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_TOUGH_BATCH03_Q07,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_TOUGH_BATCH03_Q08,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q06,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q07,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_TOUGH_END_PRACTICE_BATCH_Q08,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q06,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q07,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_TOUGH_END_VERIFIED_PRACTICE_BATCH_Q08,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_1_Q04,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_1_Q14,Intermediate,Intermediate,free_limited,free_limited,Medium-Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_1_Q15,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_2_Q02,Intermediate,Intermediate,free_limited,free_limited,Medium-Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_2_Q06,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_Q07,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_01_Q14,Intermediate,Intermediate,free_limited,free_limited,Medium-Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q05,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q06,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q11,Intermediate,Intermediate,free_limited,free_limited,Hard,ACCEPT_BASIC_PRACTICE,basic_practice,,detailed_solution leakage cleaned; estimated_time missing
