candidate_id,spec_id,subtopic,parse_status,prediction_score,cat_likeness_score,difficulty_match_score,reasoning_depth_score,trap_quality_score,option_quality_score,solution_clarity_score,evidence_alignment_score,coverage_gain_score,redundancy_penalty,final_question_value_score,paper_eligible,coverage_recovery_eligible,rejection_reason
CAT_QA_SPEC_07_CLAUDE_01,CAT_QA_SPEC_07,Triangles,OK,0.648,0.92,0.45,1.0,1.0,0.75,1.0,0.686,1.0,0.0,0.865,YES,NO,
CAT_QA_SPEC_07_CLAUDE_02,CAT_QA_SPEC_07,Triangles,OK,0.648,0.79,0.45,0.8,0.75,0.75,1.0,0.686,0.55,0.2,0.69,NO,NO,cat_likeness_below_0_82;final_score_below_0_80
CAT_QA_SPEC_07_CLAUDE_03,CAT_QA_SPEC_07,Triangles,OK,0.648,0.87,0.45,0.8,1.0,0.75,1.0,0.686,0.55,0.2,0.74,NO,NO,final_score_below_0_80
CAT_QA_SPEC_07_CLAUDE_04,CAT_QA_SPEC_07,Triangles,OK,0.648,0.66,0.45,0.8,0.75,0.75,1.0,0.686,0.55,0.2,0.657,NO,NO,cat_likeness_below_0_82;final_score_below_0_80
CAT_QA_SPEC_07_CLAUDE_05,CAT_QA_SPEC_07,Triangles,OK,0.648,0.82,0.45,0.8,1.0,0.75,1.0,0.686,0.55,0.2,0.727,NO,NO,final_score_below_0_80
CAT_QA_SPEC_07_CLAUDE_06,CAT_QA_SPEC_07,Triangles,OK,0.648,0.79,1.0,1.0,0.75,0.75,1.0,0.686,0.55,0.0,0.835,NO,NO,cat_likeness_below_0_82
CAT_QA_SPEC_07_CLAUDE_07,CAT_QA_SPEC_07,Triangles,OK,0.648,0.35,0.45,0.8,0.75,0.75,1.0,0.686,0.55,0.2,0.58,NO,NO,direct_formula_feel;cat_likeness_below_0_82;final_score_below_0_80
CAT_QA_SPEC_07_CLAUDE_08,CAT_QA_SPEC_07,Triangles,OK,0.648,0.87,1.0,1.0,1.0,0.75,1.0,0.686,0.55,0.2,0.835,YES,NO,
CAT_QA_SPEC_08_CLAUDE_01,CAT_QA_SPEC_08,Inequalities,OK,0.54,0.35,0.45,0.8,1.0,0.75,1.0,0.549,1.0,0.0,0.66,NO,NO,direct_formula_feel;cat_likeness_below_0_82;final_score_below_0_80
CAT_QA_SPEC_08_CLAUDE_02,CAT_QA_SPEC_08,Inequalities,OK,0.54,0.35,0.45,0.8,1.0,0.75,1.0,0.549,0.55,0.0,0.638,NO,NO,direct_formula_feel;cat_likeness_below_0_82;final_score_below_0_80
CAT_QA_SPEC_08_CLAUDE_03,CAT_QA_SPEC_08,Inequalities,OK,0.54,0.35,0.45,0.8,1.0,0.75,1.0,0.549,0.55,0.0,0.638,NO,NO,direct_formula_feel;cat_likeness_below_0_82;final_score_below_0_80
CAT_QA_SPEC_08_CLAUDE_04,CAT_QA_SPEC_08,Inequalities,OK,0.54,0.35,1.0,1.0,0.75,0.75,1.0,0.549,0.55,0.2,0.653,NO,NO,direct_formula_feel;cat_likeness_below_0_82;final_score_below_0_80
CAT_QA_SPEC_08_CLAUDE_05,CAT_QA_SPEC_08,Inequalities,OK,0.54,0.35,0.45,0.8,1.0,0.75,1.0,0.549,0.55,0.2,0.588,NO,NO,direct_formula_feel;cat_likeness_below_0_82;final_score_below_0_80
CAT_QA_SPEC_08_CLAUDE_06,CAT_QA_SPEC_08,Inequalities,OK,0.54,0.35,0.45,0.8,1.0,0.75,1.0,0.549,0.55,0.2,0.588,NO,NO,direct_formula_feel;cat_likeness_below_0_82;final_score_below_0_80
CAT_QA_SPEC_08_CLAUDE_07,CAT_QA_SPEC_08,Inequalities,OK,0.54,0.84,1.0,1.0,1.0,0.75,1.0,0.549,0.55,0.0,0.855,YES,NO,
CAT_QA_SPEC_08_CLAUDE_08,CAT_QA_SPEC_08,Inequalities,OK,0.54,0.35,1.0,1.0,0.75,0.75,1.0,0.549,0.55,0.2,0.653,NO,NO,direct_formula_feel;cat_likeness_below_0_82;final_score_below_0_80
