archetype,calculation_load,candidate_id,cat_likeness_score,common_wrong_approaches,correct_answer,coverage_gain_score,coverage_recovery_eligible,detailed_solution,difficulty,difficulty_match_score,estimated_time_min,evidence_alignment_score,expected_question_value,final_question_value_score,generation_method,hidden_constraints,option_a,option_b,option_c,option_d,option_quality_score,paper_eligible,parse_notes,parse_status,prediction_score,question_text,question_type,reasoning_depth,reasoning_depth_score,redundancy_penalty,rejection_reason,section,selection_reason,solution_clarity_score,source_pool,source_question_ids,source_tex_file,spec_id,subtopic,topic,trap_quality_score,trap_type,verification_status,why_cat_level
Profit-loss transaction problem,4.0,CAT_QA_SPEC_01_ELITE_03,0.95,,Rs 1000,,,"Step 1: Total cost of all 90 bags = 90 x 640 = Rs 57600. Step 2: Profit is calculated on the entire purchase, including the unsold bags, so required revenue = 57600 + 6600 = Rs 64200. Step 3: Let the marked price be M. Only 78 bags are sold, giving revenue 36 x 0.90M + 30 x 0.80M + 12 x 0.65M = 32.4M + 24M + 7.8M = 64.2M. Step 4: Therefore 64.2M = 64200, so M = Rs 1000. Step 5: Verification: revenue = 36 x 900 + 30 x 800 + 12 x 650 = 32400 + 24000 + 7800 = Rs 64200.",Hard,,3.5,,0.910,0.91,codex_elite_generation,"Profit is on all purchased units, but revenue comes only from sold units with different discounts.",Rs 900,Rs 960,Rs 1000,Rs 1080,,YES,,,,"A shop buys 90 identical bags at Rs 640 each. It marks every bag at the same price. Of the 90 bags, 36 are sold at a 10% discount, 30 at a 20% discount, 12 at a 35% discount because of minor defects, and 12 remain unsold. If the shop still makes an overall profit of Rs 6600 on the entire purchase, what is the marked price of each bag?",MCQ,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q12;CAT_2017_S2_QA_Q07;CAT_2017_S2_QA_Q09,,CAT_QA_SPEC_01,Profit and Loss,Arithmetic,,unsold inventory profit-base trap,VERIFIED,
Profit-loss transaction problem,2.0,CAT_QA_SPEC_01_CAND_01,0.97,,Rs 800,,,"Total cost price = 100 x 600 = Rs 60000. Let the common marked price be M. Revenue from the three groups is 50 x 0.90M + 30 x 0.80M + 20 x 0.65M = 45M + 24M + 13M = 82M. Overall profit is 9 1/3% = 28/3%, so required total selling price = 60000 x (1 + 7/75) = 60000 x 82/75 = Rs 65600. Hence 82M = 65600, so M = Rs 800. Verification: revenue = 50 x 720 + 30 x 640 + 20 x 520 = 36000 + 19200 + 10400 = Rs 65600.",Medium,,2.5,,0.908,0.908,codex_manual_generation,The last group has a different realized discount because of carton damage; the discount must be weighted by units.,Rs 760,Rs 780,Rs 800,Rs 840,,YES,,,,"A retailer buys 100 identical speakers at Rs 600 each and marks all of them at the same price. He sells 50 speakers at a discount of 10%, 30 speakers at a discount of 20%, and the remaining speakers, after minor carton damage, at a discount of 35%. If his overall profit is 9 1/3%, what is the marked price of each speaker?",MCQ,3.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q08;CAT_2017_S1_QA_Q10,,CAT_QA_SPEC_01,Profit and Loss,Arithmetic,,base-value shift / average discount trap,VERIFIED,
Successive percentage change,3.0,CAT_QA_SPEC_06_ELITE2_03,0.96,,12.5,,,"Step 1: Let the original value be 100. Step 2: After the three-stage change, the value is 100(1+p/100)(0.8)(1+p/100). Step 3: After only a single p% increase, the value would be 100(1+p/100). Step 4: The first value is 90% of the second, so 0.8(1+p/100)^2 = 0.9(1+p/100). Step 5: Since p is positive, divide by the common positive factor to get 0.8(1+p/100)=0.9, so p=12.5.",Hard,,3.5,,0.892,0.892,codex_weak_spec_elite_generation,The comparison is not to the original value but to a different one-stage changed base.,,,,,,YES,,,,"A value is first increased by p%, then decreased by 20%, and then again increased by p%. The final value is exactly 90% of what the value would have been after only a single p% increase from the original. If p is positive, find p.",TITA,5.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q01;CAT_2017_S1_QA_Q05;CAT_2017_S1_QA_Q06,,CAT_QA_SPEC_06,Percentages,Arithmetic,,successive percentage reverse-base trap,VERIFIED,
Successive percentage change,3.0,CAT_QA_SPEC_06_ELITE2_01,0.94,,145/3,,,"Step 1: Let January total revenue be 100, so X revenue is 40 and other revenue is 60. Step 2: February total revenue is 125 after the 25% increase. Step 3: February X revenue is 90% of 40, which is 36. Step 4: Therefore February revenue from other products is 125 - 36 = 89. Step 5: The increase in other-products revenue is 29 on a base of 60, so the percentage increase is 2900/60 = 145/3%.",Hard,,3.5,,0.887,0.887,codex_weak_spec_elite_generation,"The percentage increase for other products must use the changed non-X base, not the total revenue base.",,,,,,YES,,,,"In January, revenue from product X was exactly 40% of a firm's total revenue. In February, total revenue increased by 25%, but revenue from X decreased by 10% because only some contracts were renewed. By what percentage did revenue from all other products increase from January to February?",TITA,5.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q01;CAT_2017_S1_QA_Q05;CAT_2017_S1_QA_Q06,,CAT_QA_SPEC_06,Percentages,Arithmetic,,nested base-change percentage trap,VERIFIED,
Work-efficiency problem,3.0,CAT_QA_SPEC_02_CAND_01,0.99,,17.85 days,,,"A's rate is 1/30 and B's rate is 1/20. In the first 6 days, A completes 6/30 = 1/5 of the job. B joins and they work together at rate 1/30 + 1/20 = 1/12 per day. B leaves when only 1/8 is left, so 7/8 of the job has been completed. The part done together is 7/8 - 1/5 = (35 - 8)/40 = 27/40. Time together = (27/40)/(1/12) = 81/10 = 8.1 days. The remaining 1/8 is done by A alone in (1/8)/(1/30) = 15/4 = 3.75 days. Total time = 6 + 8.1 + 3.75 = 17.85 days.",Medium,,2.5,,0.882,0.882,codex_manual_generation,B does not work until completion; he leaves exactly when a fractional amount of work remains.,17.25 days,17.85 days,18.25 days,18.75 days,,YES,,,,"A can finish a job alone in 30 days, while B can finish it alone in 20 days. A starts the job alone. B joins after 6 days and leaves as soon as only one-eighth of the job is left. A then completes the remaining work alone. In how many days is the job completed?",MCQ,4.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q02;CAT_2017_S1_QA_Q15;CAT_2017_S1_QA_Q34,,CAT_QA_SPEC_02,Time and Work,Arithmetic,,rate vs time inversion trap,VERIFIED,
Ratio sharing problem,4.0,CAT_QA_SPEC_03_ELITE_01,1.0,,825000,,,"Step 1: Let incomes be 8x and 11x, and expenditures be 5y and 7y. Then P's saving is 8x - 5y and Q's saving is 11x - 7y. Step 2: Q saves Rs 3000 more, so 11x - 7y = 8x - 5y + 3000, giving 3x - 2y = 3000. Step 3: After investment, remaining savings are 80% of P's saving and 75% of Q's saving, so 0.8(8x - 5y) = 0.75(11x - 7y). Since Q's saving exceeds P's by 3000, this is also 0.8(SQ - 3000) = 0.75SQ. Hence SQ = 48000. Step 4: Therefore 11x - 7y = 48000 and 3x - 2y = 3000. From the second equation, y = 1.5x - 1500. Step 5: Substitute: 11x - 7(1.5x - 1500) = 48000, so 0.5x + 10500 = 48000, x = 75000. Q's income = 11x = Rs 825000.",Hard,,4.0,,0.873,0.873,codex_elite_generation,"Income and expenditure ratios use different bases, and the equal remaining savings condition applies after different investment percentages.",,,,,,YES,,,,"The monthly incomes of P and Q are in the ratio 8:11, while their monthly expenditures are in the ratio 5:7. Q saves Rs 3000 more than P. After P invests 20% of his saving and Q invests 25% of his saving, their remaining savings are equal. What is Q's monthly income in rupees?",TITA,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q13;CAT_2018_S1_QA_Q26;CAT_2019_S1_QA_Q12,,CAT_QA_SPEC_03,Ratio and Proportion,Arithmetic,,income-expenditure ratio base and savings investment trap,VERIFIED,
Successive percentage change,3.0,CAT_QA_SPEC_06_ELITE2_02,1.0,,100/3,,,"Step 1: Let the total number of candidates be 100. Step 2: There are 60 men and 40 women; qualified men are 30% of 60 = 18. Step 3: Qualified women are 45% of 40 = 18 before withdrawals. Step 4: After withdrawals, men:women is 3:2, so if men are 18, remaining women are 12. Step 5: Women who withdrew = 18 - 12 = 6, which is 6/18 = 100/3% of qualified women.",Hard,,3.5,,0.872,0.872,codex_weak_spec_elite_generation,"The withdrawal percentage is on qualified women only, after qualification rates are applied to different gender bases.",,,,,,YES,,,,"In an entrance test, 40% of the candidates are women. Exactly 30% of the men and 45% of the women qualify. Later, no qualified man withdraws, but some qualified women withdraw. After withdrawals, qualified men and qualified women are in the ratio 3:2. What percentage of the qualified women withdrew?",TITA,5.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q01;CAT_2017_S1_QA_Q05;CAT_2017_S1_QA_Q06,,CAT_QA_SPEC_06,Percentages,Arithmetic,,population partition and changed denominator trap,VERIFIED,
Ratio sharing problem,4.0,CAT_QA_SPEC_03_ELITE_03,0.79,,144000,,,"Step 1: Let the original shares be 5x, 7x and 8x. After B gives Rs 22000 to A, A has 5x + 22000 and B has 7x - 22000. C still has 8x. Step 2: C's excess over A at this point is 8x - (5x + 22000) = 3x - 22000. One-fourth of this amount is transferred from C to B, so B receives (3x - 22000)/4. Step 3: Final A = 5x + 22000. Final B = 7x - 22000 + (3x - 22000)/4. Step 4: They are equal, so 5x + 22000 = 7x - 22000 + (3x - 22000)/4. Multiplying by 4 gives 20x + 88000 = 28x - 88000 + 3x - 22000 = 31x - 110000. Step 5: Hence 11x = 198000, so x = 18000. C's original share = 8x = Rs 144000.",Hard,,4.0,,0.870,0.87,codex_elite_generation,"The one-fourth transfer is based on C's excess over A after the first transfer, not original shares.",,,,,,NO,,,,"A fund is divided among A, B and C in the ratio 5:7:8. B gives Rs 22000 from his share to A, and then C gives one-fourth of his new comparison excess over A to B. After both transfers, A and B have equal amounts. What was C's original share in rupees?",TITA,5.0,,0.0,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2018_S1_QA_Q26;CAT_2018_S2_QA_Q34;CAT_2019_S1_QA_Q23,,CAT_QA_SPEC_03,Ratio and Proportion,Arithmetic,,changing comparison base trap,VERIFIED,
Triangle similarity problem,4,CAT_QA_SPEC_07_CLAUDE_01,0.92,"Subtracting directly: $[DBF] = T - 16 - 40 = ?$ without first finding $T$, leading to guessed values like $20$. | Using linear ratio: assuming $[DBF]/[ADE] = 40/16$, giving $[DBF] = 40$. | Treating $DECF$ as a trapezoid with unequal parallel sides and constructing wrong proportions, leading to $36$.",(C) $25$,1.0,NO,"Step 1: Let $\dfrac{AD}{AB} = k$. Since $DE \parallel BC$, triangle $ADE \sim ABC$ with linear ratio $k$, so $[ADE] = k^2 \cdot [ABC]$. Step 2: Since $DF \parallel AC$, triangle $DBF \sim ABC$ (same angle at $B$, with $DB/AB = 1-k$ and $BF/BC = 1-k$). Hence $[DBF] = (1-k)^2 \cdot [ABC]$. Step 3: Identify the hidden structure of $DECF$. Both $DE \parallel BC$ and $DF \parallel AC$. By the proportionality theorem, $DE = k \cdot BC$ and $FC = BC - BF = (1-(1-k)) \cdot BC = k \cdot BC$. So $DE = FC$ with $DE \parallel FC$, meaning $DECF$ is a \emph{parallelogram}, not just a trapezoid. Step 4: Since the three regions $[ADE]$, $[DECF]$, $[DBF]$ partition $[ABC]$: \[[ABC] = [ADE] + [DBF] + [DECF] = k^2 T + (1-k)^2 T + 2k(1-k)T = T.\] So $[DECF] = 2k(1-k)\,T$. Step 5: Now $[DECF]^2 = 4 k^2 (1-k)^2 T^2 = 4 \cdot [ADE] \cdot [DBF]$. Substituting: \[40^2 = 4 \cdot 16 \cdot [DBF] \;\Rightarrow\; [DBF] = \dfrac{1600}{64} = 25.\]",Medium-Hard,0.45,4,0.686,0.865,0.865,,"DECF is a parallelogram (equal parallel sides), so [DECF]^2 = 4*[ADE]*[DBF]",$20$,$24$,$25$,$36$,0.75,YES,,OK,0.648,"In triangle $ABC$, point $D$ lies on side $AB$ and point $E$ lies on side $AC$ such that $DE \parallel BC$. The line through $D$ parallel to $AC$ meets $BC$ at point $F$. If the area of triangle $ADE$ is $16$ and the area of quadrilateral $DECF$ is $40$, find the area of triangle $DBF$.",MCQ,5,1.0,0.0,,QA,paper_eligible,1.0,latex,CAT_2017_S1_QA_Q16;CAT_2018_S1_QA_Q09;CAT_2018_S1_QA_Q29,D:\CAT PREDN MODEL\cat_prediction_engine_structured\data\latex_candidates\generated\batch_01_weak_spec_recovery_cleaned.tex,CAT_QA_SPEC_07,Triangles,Geometry,1.0,linear ratio vs area ratio trap,,"The student must recognise that $DECF$ is a parallelogram (not a generic trapezoid), then exploit the identity $[\text{parallelogram}]^2 = 4 \cdot [\text{corner triangle 1}] \cdot [\text{corner triangle 2}]$ that follows from $2k(1-k) \cdot 2k(1-k) = 4 \cdot k^2 \cdot (1-k)^2$. There is no direct formula; one must build the relation."
Work-efficiency problem,4.0,CAT_QA_SPEC_02_CAND_03,0.94,,357/23 days,,,"Let the daily rates of A, B and C be a, b and c. We have a+b = 1/16, b+c = 1/24, and a+c = 1/18. Adding gives 2(a+b+c) = 1/16 + 1/24 + 1/18 = 9/144 + 6/144 + 8/144 = 23/144, so a+b+c = 23/288. Also a = [(a+b)+(a+c)-(b+c)]/2 = (1/16 + 1/18 - 1/24)/2 = (9+8-6)/144 divided by 2 = 11/288. Similarly c = [(b+c)+(a+c)-(a+b)]/2 = (6+8-9)/144 divided by 2 = 5/288. In the first 4 days A completes 4 x 11/288 = 44/288 = 11/72. In the next 3 days A+C complete 3 x (16/288) = 48/288 = 1/6. Work done in first 7 days = 11/72 + 1/6 = 23/72. Remaining work = 49/72. With all three working, time needed = (49/72)/(23/288) = 196/23 days. Total time = 7 + 196/23 = 357/23 days.",Hard,,3.5,,0.862,0.862,codex_manual_generation,Individual rates must be inferred from pair rates before applying the staged joining schedule.,15.25 days,357/23 days,16 days,371/24 days,,YES,,,,"A and B together can finish a job in 16 days, B and C together in 24 days, and A and C together in 18 days. A starts alone. After 4 days, C joins. After 3 more days, B also joins. How many days from the start are needed to finish the job?",MCQ,5.0,,0.2,Basic structural verification passed; math/logic review may still be required.,QA,existing_pool,,existing,CAT_2017_S1_QA_Q34;CAT_2017_S2_QA_Q34;CAT_2018_S1_QA_Q28,,CAT_QA_SPEC_02,Time and Work,Arithmetic,,pair-rate decomposition trap,VERIFIED,
