record_type,match_class,score,latex_question_id,old_question_id,source_tex_file,source_question_number,old_batch_id,old_question_number,source_score,topic_score,type_score,text_score,math_score,number_score,option_score,answer_score,solution_score,notes
latex_match,medium_confidence_candidate,0.7114,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q001,GEN_CAT_HARDENED_QA_SIMULATION_Q01,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,1,cat_hardened_qa_simulation,7,0.6800,0.5000,0.0000,0.9945,0.2857,1.0000,1.0000,1.0000,0.2138,source=0.68; topic=0.50; type=0.00; text=0.99; math=0.29; numbers=1.00; options=1.00; answer=1.00; solution=0.21; source-file-match; source-batch-related
latex_match,exact_match,0.8711,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q002,GEN_CAT_HARDENED_QA_SIMULATION_Q02,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,2,cat_hardened_qa_simulation,2,1.0000,0.5556,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,source=1.00; topic=0.56; type=1.00; text=1.00; math=1.00; numbers=1.00; options=0.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9300,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q003,GEN_CAT_HARDENED_QA_SIMULATION_Q03,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,3,cat_hardened_qa_simulation,3,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=1.00; type=0.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.8430,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q004,GEN_CAT_HARDENED_QA_SIMULATION_Q04,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,4,cat_hardened_qa_simulation,4,1.0000,0.3000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,source=1.00; topic=0.30; type=1.00; text=1.00; math=1.00; numbers=1.00; options=0.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9300,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q005,GEN_CAT_HARDENED_QA_SIMULATION_Q05,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,5,cat_hardened_qa_simulation,5,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=1.00; type=0.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9200,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q006,GEN_CAT_HARDENED_QA_SIMULATION_Q06,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,6,cat_hardened_qa_simulation,6,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,source=1.00; topic=1.00; type=1.00; text=1.00; math=1.00; numbers=1.00; options=0.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9300,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q007,GEN_CAT_HARDENED_QA_SIMULATION_Q07,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,7,cat_hardened_qa_simulation,7,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=1.00; type=0.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9300,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q008,GEN_CAT_HARDENED_QA_SIMULATION_Q08,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,8,cat_hardened_qa_simulation,8,1.0000,1.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=1.00; type=0.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,medium_confidence_candidate,0.5140,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q009,GEN_CAT_QUANT_HARDENED_Q09,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,9,cat_quant_hardened,,0.8600,0.8000,0.0000,0.5284,0.5714,0.3333,0.0000,0.0000,0.5917,source=0.86; topic=0.80; type=0.00; text=0.53; math=0.57; numbers=0.33; options=0.00; answer=0.00; solution=0.59; source-batch-related; question-number-match
latex_match,exact_match,0.9200,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q010,GEN_CAT_HARDENED_QA_SIMULATION_Q10,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,10,cat_hardened_qa_simulation,10,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,source=1.00; topic=1.00; type=1.00; text=1.00; math=1.00; numbers=1.00; options=0.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.8750,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q011,GEN_CAT_HARDENED_QA_SIMULATION_Q11,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,11,cat_hardened_qa_simulation,11,1.0000,0.5000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=0.50; type=0.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9200,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q012,GEN_CAT_HARDENED_QA_SIMULATION_Q12,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,12,cat_hardened_qa_simulation,12,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,source=1.00; topic=1.00; type=1.00; text=1.00; math=1.00; numbers=1.00; options=0.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.8514,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q013,GEN_CAT_HARDENED_QA_SIMULATION_Q13,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,13,cat_hardened_qa_simulation,13,1.0000,0.2857,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=0.29; type=0.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9017,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q014,GEN_CAT_HARDENED_QA_SIMULATION_Q14,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,14,cat_hardened_qa_simulation,14,1.0000,0.8333,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,source=1.00; topic=0.83; type=1.00; text=1.00; math=1.00; numbers=1.00; options=0.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.8933,LATEX_CAT_QUANT_CAT_HARDENED_QA_SIMULATION_N76XF_Q015,GEN_CAT_HARDENED_QA_SIMULATION_Q15,content/cat/practice/latex_sources/CAT_Hardened_QA_Simulation.tex,15,cat_hardened_qa_simulation,15,1.0000,0.6667,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=0.67; type=0.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9450,LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q001,GEN_CAT_HARDENED_QUANT_PAPER_Q01,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,1,cat_hardened_quant_paper,1,1.0000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=0.50; type=1.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.8513,LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q002,GEN_CAT_QUANT_VERIFIED_PRACTICE_BATCH_02_TOUGH_Q02,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,2,cat_quant_verified_practice_batch_02_tough,2,1.0000,0.3750,1.0000,1.0000,1.0000,1.0000,0.0000,1.0000,1.0000,source=1.00; topic=0.38; type=1.00; text=1.00; math=1.00; numbers=1.00; options=0.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9037,LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q003,GEN_CAT_HARDENED_QUANT_PAPER_Q03,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,3,cat_hardened_quant_paper,3,1.0000,0.1250,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=0.13; type=1.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,exact_match,0.9450,LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q004,GEN_CAT_HARDENED_QUANT_PAPER_Q04,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,4,cat_hardened_quant_paper,4,1.0000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=0.50; type=1.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
latex_match,medium_confidence_candidate,0.5194,LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q005,GEN_CAT_HARDENED_QUANT_15Q_SIMULATION_Q02,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,5,cat_hardened_quant_15q_simulation,2,0.6800,0.3750,1.0000,0.6667,0.5000,0.2500,0.0000,0.0000,0.6280,source=0.68; topic=0.38; type=1.00; text=0.67; math=0.50; numbers=0.25; options=0.00; answer=0.00; solution=0.63; source-file-match; source-batch-related
latex_match,exact_match,0.9450,LATEX_CAT_QUANT_CAT_HARDENED_QUANT_PAPER_O405F_Q006,GEN_CAT_HARDENED_QUANT_PAPER_Q06,content/cat/practice/latex_sources/CAT_Hardened_Quant_Paper.tex,6,cat_hardened_quant_paper,6,1.0000,0.5000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,source=1.00; topic=0.50; type=1.00; text=1.00; math=1.00; numbers=1.00; options=1.00; answer=1.00; solution=1.00; source-file-match; source-batch-related; question-number-match
