question_id,source_file,source_set_number,source_question_number,varc_type,passage_id,difficulty,practice_level,topic,subtopic,parse_status,student_visible,has_passage,has_options,has_answer,parse_warnings
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q001,CAT-plus_VARC_Simulation.pdf,1,1,RC,VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S1_P1,,Intermediate,VARC,Reading Comprehension,missing_answer,false,true,true,false,answer not found
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q002,CAT-plus_VARC_Simulation.pdf,1,2,RC,VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S1_P1,,Intermediate,VARC,Reading Comprehension,missing_answer,false,true,true,false,answer not found
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q003,CAT-plus_VARC_Simulation.pdf,1,3,RC,VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S1_P1,,Intermediate,VARC,Reading Comprehension,missing_answer,false,true,true,false,answer not found
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q004,CAT-plus_VARC_Simulation.pdf,1,4,RC,VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S1_P1,,Intermediate,VARC,Reading Comprehension,missing_answer,false,true,true,false,answer not found
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q017,CAT-plus_VARC_Simulation.pdf,1,17,Para Summary,,,Intermediate,VARC,Para Summary,missing_answer,false,false,true,false,answer not found
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q017_DUP2,CAT-plus_VARC_Simulation.pdf,1,17,Other,,,Intermediate,VARC,Other,missing_answer,false,false,false,false,answer not found
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q018,CAT-plus_VARC_Simulation.pdf,1,18,Para Summary,,,Intermediate,VARC,Para Summary,missing_answer,false,false,true,false,answer not found
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q018_DUP2,CAT-plus_VARC_Simulation.pdf,1,18,Critical Reasoning,,,Intermediate,VARC,Critical Reasoning,missing_answer,false,false,false,false,answer not found
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q019,CAT-plus_VARC_Simulation.pdf,1,19,Para Summary,,,Intermediate,VARC,Para Summary,missing_answer,false,false,true,false,answer not found
VARC_SOURCE_CAT_PLUS_VARC_SIMULATION_S01_Q019_DUP2,CAT-plus_VARC_Simulation.pdf,1,19,Other,,,Intermediate,VARC,Other,missing_answer,false,false,false,false,answer not found
